Hindi,English
जैसा,as
मैं,I
उसके,his
कि,that
वह,he
था,was
के लिए,for
पर,on
हैं,are
साथ,with
हो,be
पर,at
एक,one
है,have
इस,this
से,from
लेकिन,but
क्या,what
कुछ,some
है,is
यह,it
आप,you
या,or
था,had
की,of
तक,to
और,and
एक,a
में,in
हम,we
बाहर,out
अन्य,other
थे,were
कर,do
उनके,their
समय,time
अगर,if
कैसे,how
कहा,said
एक,an
प्रत्येक,each
करता है,does
सेट,set
चाहते हैं,want
हवा,air
अच्छी तरह से,well
भी,also
खेलने,play
छोटे,small
अंत,end
डाल,put
पढ़ा,read
हाथ,hand
बंदरगाह,port
बड़ा,large
जादू,spell
जोड़,add
और भी,even
भूमि,land
यहाँ,here
चाहिए,must
बड़ा,big
उच्च,high
ऐसा,such
अधिनियम,act
क्यों,why
पूछना,ask
पुरुषों,men
परिवर्तन,change
चला गया,went
प्रकाश,light
तरह,kind
बंद,off
आवश्यकता,need
घर,house
कोशिश,try
हमें,us
फिर,again
पशु,animal
बिंदु,point
मां,mother
दुनिया,world
निकट,near
बनाना,build
आत्म,self
पृथ्वी,earth
पिता,father
किसी भी,any
नई,new
काम,work
हिस्सा,part
लेना,take
प्राप्त,get
जगह,place
निर्मित,made
जीना,live
जहां,where
के बाद,after
वापस,back
थोड़ा,little
केवल,only
आदमी,man
वर्ष,year
शो,show
हर,every
मुझे,me
हमारे,our
नीचे,under
नाम,name
बहुत,very
के माध्यम से,through
बस,just
फार्म,form
वाक्य,sentence
महान,great
लगता है,think
मदद,help
कम,low
रेखा,line
अलग,differ
बारी,turn
कारण,cause
ज्यादा,much
पहले,before
चाल,move
लड़का,boy
पुराना,old
भी,too
वही,same
वह,she
सब,all
वहाँ,there
जब,when
ऊपर,up
उपयोग,use
अपने,your
रास्ता,way
के बारे में,about
कई,many
तो,then
लिखना,write
होगा,would
जैसा,like
तो,so
इन,these
उसके,her
लंबे समय तक,long
कर,make
बात,thing
देखना,see
है,has
देखो,look
अधिक,more
दिन,day
सकता है,could
जाना,go
आ,come
किया,did
संख्या,number
ध्वनि,sound
सबसे,most
लोग,people
मेरे,my
अधिक,over
पता,know
पानी,water
से,than
कॉल,call
पहले,first
कौन,who
मई,may
अब,now
लगता है,find
सिर,head
खड़े,stand
पेज,page
चाहिए,should
देश,country
जवाब,answer
स्कूल,school
बढ़ने,grow
अध्ययन,study
